Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,OC,BOYS,2915,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BIO-TECHNOLOGY,OC,BOYS,54610,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CHEMICAL ENGINEERING,OC,BOYS,40767,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CSE (IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY),OC,BOYS,3210,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,OC,BOYS,32391,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,1479,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,2024,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,5974,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,13125,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,INFORMATION  TECHNOLOGY,OC,BOYS,3840,140000,OU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,OC,BOYS,28399,140000,OU
COLLEGE OF DAIRY TECHNOLOGY,DAIRYING,OC,BOYS,84240,10000,PVNRTVU
COLLEGE OF FOOD SCIENCE AND TECHNOLOGY,FOOD TECHNOLOGY,OC,BOYS,144485,9700,PJTSAU
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
SRI CHAITANYA TECHNICAL CAMPUS,CIVIL ENGINEERING,OC,BOYS,46819,60000,JNTUH
SRI CHAITANYA TECHNICAL CAMPUS,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,20996,60000,JNTUH
SRI CHAITANYA TECHNICAL CAMPUS,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,67071,60000,JNTUH
